commande_id,client_id,date_commande,statut,total,expedition_id,paiement_id,Id
1,64ac4a37-4a04-42c0-b171-46637a9b9480,2023-05-09,Livrée,404.74,2,4,1
2,2d417e76-241e-40e3-8bf9-f04d216bca21,2023-10-21,Livrée,220.88,3,5,5
3,1858693f-5bfc-434a-b483-aee90e785e0a,2023-03-05,Expédiée,487.42,5,2,7
4,d75a617b-c1b4-4bbb-9376-4cf923d460ff,2023-05-11,Livrée,109.52,1,4,6
5,819a6b04-cbe2-4ea9-a28a-255bf9c3792c,2023-05-02,Livrée,93.47,1,3,5
6,95ee2177-f7b0-45b9-b857-eaf2b8c8dbef,2023-01-31,Livrée,447.72,2,4,4
7,106ca724-24d2-4afb-89d9-f8fd492b18a9,2023-05-29,En cours,86.35,4,3,6
8,badc08aa-8844-4f08-9835-2f63e3ca132e,2023-01-30,Livrée,96.53,5,1,3
9,f78f2d17-67e0-4d11-834f-10d4987dae46,2023-10-30,Expédiée,55.68,5,1,7
10,820996bf-3f23-4f8c-9d59-d044e9df9f1f,2023-06-08,Livrée,105.96,3,3,4
