produit_id,nom,description,prix,quantite_stock,category_id,image_url,date_ajout
1,senior,Left almost deal risk deal officer.,62.68,67,2,https://placekitten.com/138/973,2023-02-15
2,mission,Tree sort policy door. Any reduce believe wear approach throw.,90.25,15,3,https://picsum.photos/836/362,2023-06-22
3,station,Recent policy central camera. Both continue quite.,57.89,91,2,https://dummyimage.com/702x235,2023-07-31
4,forget,Business left reveal however analysis base meet.,21.06,27,3,https://dummyimage.com/566x529,2023-08-24
5,language,Through suddenly such prevent issue. Cup town section experience Congress.,67.68,43,5,https://dummyimage.com/63x88,2023-10-27
6,star,Data hard choice break director first. Wear someone himself authority wide exactly.,91.86,90,5,https://dummyimage.com/146x903,2023-07-22
7,foreign,Understand among simply agree. News many light page produce scientist.,81.13,79,1,https://dummyimage.com/746x369,2023-11-09
8,radio,President whole society speech rule. Brother score successful artist. Best him effort.,21.12,75,3,https://dummyimage.com/743x351,2023-11-13
9,charge,Staff huge crime commercial. Official letter fear friend including serious enough.,70.56,68,1,https://dummyimage.com/1024x543,2023-10-28
10,worker,Inside enter develop none hour nearly. Water military better without site.,22.33,75,3,https://picsum.photos/7/122,2023-02-03
