nom,quantite_stock,sum(paiement.montant)
"Produit N",190,340.95
"Produit S",140,239.70
"Produit G",180,237.93
"Produit M",210,180.00
"Produit K",110,178.40
"Produit I",140,162.00
"Produit AB",50,159.99
"Produit F",300,144.00
"Produit Z",220,140.00
"Produit U",130,135.00
"Produit W",90,132.50
"Produit E",250,129.90
"Produit R",220,118.99
"Produit O",250,114.00
"Produit AA",150,111.25
"Produit J",100,110.00
"Produit T",120,109.99
"Produit Q",50,99.98
"Produit D",200,99.95
"Produit C",80,90.00
"Produit X",250,90.00
"Produit AC",180,89.99
"Produit A",150,89.97
"Produit Y",120,85.00
"Produit AD",220,80.00
"Produit V",160,61.25
"Produit L",75,60.00
"Produit P",300,59.97
"Produit H",160,56.25
"Produit B",120,15.50
